id,name_ja,name_en,nationality,birth_year,birth_date,birthplace,profile,status,api_id
syunya-mori,モリ・シュンヤ,Syunya Mori,日本,1992,1992-09-01,,,確認済,a3d04702-863f-4f96-be5a-23566da8eadd
sasuke-shinozaki,シノザキ・サスケ,Sasuke Shinozaki,日本,1993,1993-06-08,,,確認済,6a622aa5-c800-4c94-a0be-3e496c8194e9
josh-hook,ジョシュ・フック,Josh Hook,豪州,1993,1993-01-09,,,確認済,98bb4442-ac7d-4467-a8b9-6a6824b83a93
joel-taylor,ジョエル・テイラー,Joel Taylor,豪州,1994,1994-03-28,,,確認済,f3c66ce0-bf27-45ca-8752-3aad1f200e84
nasser-al-malki,ナセル・アル・マルキ,Nasser Al Malki,カタール,1983,1983-11-30,,,確認済,28b26e27-828d-4234-adf2-7e050558945d
steven-odendaal,スティーヴン・オーデンダール,Steven Odendaal,南アフリカ,1993,1993-03-02,Johannesburg,,確認済,259ac05e-c408-425e-8bc6-031a0f9ae05d
lukasz-wargala,ウカシュ・ヴァルガワ,Lukasz Wargala,ポーランド,1983,1983-05-05,,,確認済,a99305bb-53a9-464f-94ff-1d7a95d008c3
tommaso-lorenzetti,トンマーゾ・ロレンツェッティ,Tommaso Lorenzetti,イタリア,1985,1985-06-22,,,確認済,a311e420-f9e7-444a-9d9c-dc6e6bda0f89
jd-beach,JD・ビーチ,JD Beach,米国,1991,1991-12-10,,,確認済,bb5d86d8-4b94-42b4-9609-17a4e3e24117
jacob-gagne,ジェイコブ・ガニエ,Jacob Gagne,米国,1992,1992-08-27,,,確認済,c1b01636-f32e-43c7-ab38-d5b09f481a26
alessandro-andreozzi,アレッサンドロ・アンドレオッツィ,Alessandro Andreozzi,イタリア,1991,1991-06-02,Macerata,,確認済,ce2b6fe0-bba4-444b-afe3-ddd17af79b21
elena-rosell,エレナ・ロセル,Elena Rosell,スペイン,1986,1986-04-30,Valencia,,確認済,ff93a163-9e1d-4436-b2b1-1e12e1abbf08
apiwath-wongthananon,アピワット・ウォンタナノン,Apiwath Wongthananon,タイ,1994,1994-02-02,,,確認済,bf6fc21d-4155-49ea-bcb4-6d4582879dac
oscar-climent,オスカル・クリメント,Oscar Climent,スペイン,1992,1992-06-26,,,確認済,190f5b8d-ea41-4457-bf34-b179c12a9b90
harry-stafford,ハリー・スタッフォード,Harry Stafford,英国,1993,1993-09-15,Leicester,,確認済,72bb6057-b9fa-4989-9200-2ab7669724a0
giulian-pedone,ジュリアン・ペドーネ,Giulian Pedone,スイス,1993,1993-11-30,Neuchatel,,確認済,f921eb75-a788-476b-a5f9-9f0c3d83fac9
daniel-ruiz,ダニエル・ルイス,Daniel Ruiz,スペイン,1992,1992-04-15,,,確認済,4798b9e8-0315-498b-9382-cef838799640
sarath-kumar,サラス・クマール,Sarath Kumar,インド,1991,1991-12-15,Chennai,,確認済,2ae7a5ec-70cf-47e6-8e4b-4e7255220f10
kevin-thobois,ケヴィン・トボワ,Kevin Thobois,フランス,1992,1992-02-20,,,確認済,bbe9a961-627a-4d98-be0a-4ae7817be8a4
luca-grunwald,ルカ・グリュンヴァルト,Luca Grünwald,ドイツ,1994,1994-11-10,Waldkraiburg,,確認済,8cfdbf57-0396-4d6d-8a21-8efe0ad278ff
bryan-schouten,ブライアン・スハウテン,Bryan Schouten,オランダ,1994,1994-09-10,Zevenbergen,,確認済,d263937c-2118-4be0-9892-be6a58d476b2
thomas-van-leeuwen,トーマス・ファン・レーウェン,Thomas Van Leeuwen,オランダ,1994,1994-09-12,,,確認済,10209b5d-3bd4-42b6-ba5f-494c6879684e
miroslav-popov,ミロスラフ・ポポフ,Miroslav Popov,チェコ,1995,1995-06-14,,,確認済,d6151882-759d-4b18-a16e-6bf9744a593f
kevin-calia,ケヴィン・カリア,Kevin Calia,イタリア,1994,1994-09-09,,,確認済,949bd5b1-e1fc-48a1-ac49-101b3a170505
massimo-parziani,マッシモ・パルツィアーニ,Massimo Parziani,イタリア,1992,1992-07-10,,,確認済,893a4dbe-d6bc-4169-b9e3-69738539e188
felix-forstenhaeusler,フェリックス・フォルステンホイスラー,Felix Forstenhaeusler,ドイツ,1992,1992-06-10,,,確認済,7ff0ce4a-f3a4-4d99-8c88-6d7708f2c5fe
manuel-tatasciore,マヌエル・タタショーレ,Manuel Tatasciore,イタリア,1994,1994-04-17,,,確認済,7987ff14-e156-4bcb-93f3-6792f875edcb
alessandro-giorgi,アレッサンドロ・ジョルジ,Alessandro Giorgi,イタリア,1993,1993-10-28,,,確認済,4ca44b57-dc6f-4deb-96a7-0dcf70624d41
luca-fabrizio,ルカ・ファブリツィオ,Luca Fabrizio,イタリア,1978,1978-12-14,,,確認済,f7165613-a33e-4807-8786-8a70689f84ca
hyuga-watanabe,ワタナベ・ヒュウガ,Hyuga Watanabe,日本,1994,1994-08-23,Shizuoka,,確認済,c94b9751-e446-416f-a279-8d4700823394
jun-ohnishi,オオニシ・ジュン,Jun Ohnishi,日本,1985,1985-12-18,,,確認済,9b0312e4-1844-4df8-953b-a4e5c0752506
marco-colandrea,マルコ・コランドレア,Marco Colandrea,スイス,1994,1994-04-06,Ticino,,確認済,ab2bb467-3dcc-4ae5-b92e-082cf7d523c4
farid-badrul,ファリド・バドルル,Farid Badrul,マレーシア,1993,1993-08-10,,,確認済,442729e3-76ef-42dc-beda-fb7802d566dd
alexander-lundh,アレクサンダー・ルンド,Alexander Lundh,スウェーデン,1986,1986-10-30,Vämamo,,確認済,f1870ed9-90a6-4a3a-aa03-90a0b252de9e
eric-granado,エリック・グラナド,Eric Granado,ブラジル,1996,1996-06-10,São Paulo,,確認済,0bc0347b-7067-4f18-9af6-86a980078954
kevin-wahr,ケヴィン・ヴァール,Kevin Wahr,ドイツ,1989,1989-03-24,,,確認済,94e2233b-e8fe-4dc5-8a6c-5063904bab0c
markus-reiterberger,マルクス・ライターベルガー,Markus Reiterberger,ドイツ,1994,1994-03-09,,,確認済,7b641be4-91ab-4270-bab1-1931c8ac76df
massimo-roccoli,マッシモ・ロッコリ,Massimo Roccoli,イタリア,1984,1984-11-27,Rimini,,確認済,6a83c37a-aed7-404b-b41a-c439a858c3fa
alex-marinelarena,アレックス・マリニェラレナ,Alex Mariñelarena,スペイン,1992,1992-10-05,Pamplona,,確認済,080abe79-dc52-4941-9bec-4588b10a7926
rafid-topan-sucipto,ラフィド・トパン・スチプト,Rafid Topan Sucipto,インドネシア,1994,1994-08-24,Jakarta,,確認済,9b196387-442e-4887-a28f-bc2e7ab98c01
alan-techer,アラン・テシェ,Alan Techer,フランス,1994,1994-09-08,Cannes,,確認済,a1b1a09f-273a-4947-ae96-21b1b7bac644
kenta-fujii,フジイ・ケンタ,Kenta Fujii,日本,1994,1994-04-04,Suzuka,,確認済,55d527ad-12d9-4c76-b764-4d146325147d
fraser-rogers,フレイザー・ロジャース,Fraser Rogers,英国,,,,,記憶,0553059b-11e7-4b1a-89c9-a0b28fac2a1c
michael-ruben-rinaldi,ミケーレ・ルーベン・リナルディ,Michael Ruben Rinaldi,イタリア,1995,1995-12-21,,,確認済,1116f3e7-361f-476f-92c1-4cc8768ebab9
stefano-valtulini,ステファノ・ヴァルトゥリーニ,Stefano Valtulini,イタリア,1996,1996-07-05,Calcinate,,確認済,ccb85248-f1fc-40ca-a64f-4d60d1406ce4
luca-amato,ルカ・アマート,Luca Amato,ドイツ,1996,1996-08-24,Köln,,確認済,d4686d7c-23a0-4b19-a9cb-d7fe89510db5
yuudai-kamei,カメイ・ユウダイ,Yuudai Kamei,日本,1996,1996-04-16,,,確認済,292ef88b-7def-4069-957d-ccd1ebb6114d
lincoln-gilding,リンカーン・ギルディング,Lincoln Gilding,豪州,1992,1992-03-16,,,確認済,c773f6d4-48b4-4679-a847-15ef11fe221a
sam-clarke,サム・クラーク,Sam Clarke,豪州,1996,1996-03-06,,,確認済,d1a55b3e-f4af-4566-aadd-92d88d3f9e83
kyle-smith,カイル・スミス,Kyle Smith,英国,1991,1991-09-16,Huddersfield,,確認済,71c7f4dc-c7ad-4b93-ba82-80927b97cd7a
james-rispoli,ジェームズ・リスポリ,James Rispoli,米国,1991,1991-07-19,,,確認済,74d6181c-1456-4006-be42-17df9daffee1
thitipong-warokorn,ティティポン・ワロコーン,Thitipong Warokorn,タイ,1989,1989-01-27,Chonburi,,確認済,e193e694-1456-46bf-b284-1a27c968dee3
lucas-mahias,リュカ・マイアス,Lucas Mahias,フランス,1989,1989-04-14,,,確認済,ffd72e73-c16f-40e9-9bc5-cc55dba5d45f
jason-ohalloran,ジェイソン・オハロラン,Jason O'Halloran,豪州,1987,1987-12-30,,,確認済,986d1847-966d-482a-a793-842afe2d1eeb
azlan-shah,アズラン・シャー,Azlan Shah,マレーシア,1984,1984-10-01,Klang,,確認済,b18b449c-0f3c-4136-bf30-7d28572b78e4
ezequiel-iturrioz,エセキエル・イトゥリオス,Ezequiel Iturrioz,アルゼンチン,1990,1990-09-09,Vicuña McKenna,,確認済,95e16ef6-5095-43f1-b494-6c353be40e55
robin-mulhauser,ロビン・ミュルハウザー,Robin Mulhauser,スイス,1991,1991-11-07,Fribourg,,確認済,42a27851-50e7-4968-8471-46d7648bd3f0
zaqhwan-zaidi,ザクワン・ザイディ,Zaqhwan Zaidi,マレーシア,1995,1995-07-20,Selangor,,確認済,f5995397-092a-4a47-a19f-283ab20e2415
decha-kraisart,デチャ・クライサート,Decha Kraisart,タイ,1981,1981-01-24,Saraburi,,確認済,b65d4f5d-cbbd-470d-89bc-732baa4e57c9
fadli-immammuddin,ファドリ・イマムディン,Fadli Immammuddin,インドネシア,1984,1984-07-25,,,確認済,54de5091-3e56-4d4e-8e40-ea51c71ec7df
ana-carrasco,アナ・カラスコ,Ana Carrasco,スペイン,1997,1997-03-10,Murcia,,確認済,e009eeea-dde2-4387-9cbc-100ff2e78578
matteo-ferrari,マッテオ・フェラーリ,Matteo Ferrari,イタリア,1997,1997-02-12,Cesena,,確認済,68c041fe-d813-48ae-9876-b451d89924ec
florian-alt,フロリアン・アルト,Florian Alt,ドイツ,1996,1996-04-30,Gummersbach,,確認済,686d8a41-553a-4d4c-ad8b-bd42405974f3
christophe-arciero,クリストフ・アルシエロ,Christophe Arciero,フランス,1993,1993-11-30,,,確認済,f8e92a1f-8da4-4b31-bf42-5e0adca16260
michael-coletti,ミケーレ・コレッティ,Michael Coletti,イタリア,1995,1995-08-17,,,確認済,4a525632-0cc8-4062-b518-b6c6fa7f231a
kyle-ryde,カイル・ライド,Kyle Ryde,英国,1997,1997-07-22,,,確認済,8f422065-2e0e-49e0-ad5b-ceb4bcccce63
wayne-ryan,ウェイン・ライアン,Wayne Ryan,英国,1996,1996-05-05,,,確認済,910213d2-6796-49eb-b52c-3c64c28f0845
maria-herrera,マリア・エレーラ,Maria Herrera,スペイン,1996,1996-08-26,Madrid,,確認済,149825eb-732a-4190-8ba7-b146f81105cd
aizat-malik,アイザット・マリク,Aizat Malik,マレーシア,1994,1994-06-05,,,確認済,55a810d2-4fd8-4507-a6cf-c44f873572e5
hafiq-azmi,ハフィク・アズミ,Hafiq Azmi,マレーシア,1996,1996-12-08,Kuala Lumpur,,確認済,800efd1f-1a88-41f4-91e5-2545afb0a7ec
lachlan-kavney,ラクラン・カヴニー,Lachlan Kavney,豪州,1991,1991-09-10,,,確認済,6e202ae7-68f3-474b-ab7f-a6d6eb1beb6b
sena-yamada,ヤマダ・セナ,Sena Yamada,日本,1994,1994-02-17,,,確認済,fe715aad-bd03-4cc4-b78c-c58dd3faee60
josh-herrin,ジョシュ・ヘリン,Josh Herrin,米国,1990,1990-05-23,Glendale,,確認済,c8e25762-f554-4f67-aa82-b825beae387d
edgar-pons,エドガー・ポンス,Edgar Pons,スペイン,1995,1995-06-16,Barcelona,,確認済,ffbbd75c-0a30-4b58-bd43-eb7fbad3f56f
nina-prinz,ニーナ・プリンツ,Nina Prinz,ドイツ,1982,1982-11-05,,,確認済,ce88fcea-b45b-4df1-9b10-a6acc9451e98
riccardo-russo,リッカルド・ルッソ,Riccardo Russo,イタリア,1992,1992-10-10,Maddaloni,,確認済,7a3aaae6-d5db-4118-a87e-cf3627d8b515
dakota-mamola,ダコタ・マモラ,Dakota Mamola,ベルギー,1994,1994-10-21,,,確認済,2b043d9d-fdc9-4c32-94d0-a29fc3a80151
florian-marino,フロリアン・マリノ,Florian Marino,フランス,1993,1993-06-03,Cannes,,確認済,e95b124d-53a1-4934-9f17-a9780f479b2a
federico-caricasulo,フェデリコ・カリカズーロ,Federico Caricasulo,イタリア,1996,1996-04-06,,,確認済,ed1fccca-67e1-4557-baff-1cff911b8293
federico-fuligni,フェデリコ・フリーニ,Federico Fuligni,イタリア,1995,1995-06-01,Bologna,,確認済,7e47755f-efc7-41d0-b693-aeaa641425be
chalermpol-polamai,チャルームポン・ポラマイ,Chalermpol Polamai,タイ,1981,1981-08-28,,,確認済,d062b7a6-8b78-4261-8dee-50f34f8d0b55
aiden-wagner,エイデン・ワグナー,Aiden Wagner,豪州,1994,1994-06-14,,,確認済,b3a09733-f49e-41d1-88b0-6b38fa2790fe
max-croker,マックス・クローカー,Max Croker,豪州,1998,1998-05-13,,,確認済,9fbf778b-9644-4557-91c0-9d3df3b08e46
scott-deroue,スコット・デルー,Scott Deroue,オランダ,1995,1995-12-23,Nijkerkerveen,,確認済,87108f6b-7d5a-42e9-97d9-6d27c7dc6851
gabriel-ramos,ガブリエル・ラモス,Gabriel Ramos,ベネズエラ,1994,1994-09-14,Maracay,,確認済,0a9ed728-3349-472f-9b46-cab9829398d3
simone-mazzola,シモーネ・マッツォーラ,Simone Mazzola,イタリア,1996,1996-04-22,,,確認済,60be98b9-da8c-432d-b16c-acac1f0e37b4
anthony-groppi,アンソニー・グロッピ,Anthony Groppi,イタリア,1997,1997-07-04,,,確認済,92ceeb78-6f9b-4264-9d16-2a0e5ff6b8a6
maximilian-kappler,マクシミリアン・カップラー,Maximilian Kappler,ドイツ,1997,1997-10-01,,,確認済,b91aa97d-2b74-4388-9639-14963434d6c8
joe-irving,ジョー・アーヴィング,Joe Irving,英国,1996,1996-08-06,,,確認済,2dd8cef4-0226-4dea-a571-aa3ee5ff039d
lorenzo-petrarca,ロレンツォ・ペトラルカ,Lorenzo Petrarca,イタリア,1997,1997-07-24,Santo Omero,,確認済,3b7fa3a7-920b-4174-8551-ed0fefc6040b
olly-simpson,オリー・シンプソン,Olly Simpson,豪州,1998,1998-01-10,,,確認済,a7da7ae9-2af4-4c98-949a-cb4c581c4909
hafiza-rofa,ハフィザ・ロファ,Hafiza Rofa,マレーシア,1996,1996-07-08,,,確認済,8fb1cea1-1833-4d7d-88aa-d982e466fba3
ramdan-rosli,ラムダン・ロスリ,Ramdan Rosli,マレーシア,1996,1996-01-24,,,確認済,02c0c36a-b3ef-4727-b075-f97c67c67878
louis-bulle,ルイ・ビュル,Louis Bulle,フランス,1990,1990-02-19,,,確認済,b9821ac7-09e6-4337-b235-33139e62a1b9
bradley-ray,ブラッドリー・レイ,Bradley Ray,英国,1997,1997-05-16,,,確認済,45bcbc7c-aa5d-44d4-8f2c-68ecb8e539ad
loris-cresson,ロリス・クレソン,Loris Cresson,ベルギー,1998,1998-08-14,,,確認済,f3689b89-088f-4563-bf24-feebc2cd5f4d
jorel-boerboom,ヨレル・ブールボーム,Jorel Boerboom,オランダ,1997,1997-06-01,,,確認済,96b2eb32-e9aa-401f-9734-bc6f8bb22eb0
jonas-geitner,ヨナス・ガイトナー,Jonas Geitner,ドイツ,1996,1996-05-24,,,確認済,0c711b61-6d46-42cb-ba0e-0d5bdc1623ef
luke-hedger,ルーク・ヘッジャー,Luke Hedger,英国,1995,1995-12-06,,,確認済,922c2c37-df05-4e04-80ed-ede3dda35ed9
taz-taylor,タズ・テイラー,Taz Taylor,英国,1998,1998-01-29,,,確認済,ec9765d1-98bf-41bd-b1d5-f15e63ba37d6
adrian-gyutai,アドリアン・ジュタイ,Adrian Gyutai,ハンガリー,1990,1990-11-12,,,確認済,4819ffa7-49a1-40a5-80c6-e3f6a88ff828
davide-pizzoli,ダヴィデ・ピッツォーリ,Davide Pizzoli,イタリア,1999,1999-09-11,Rome,,確認済,8e8d6536-bee0-4f40-8cc2-d15d5090c18e
manuel-pagliani,マヌエル・パリアーニ,Manuel Pagliani,イタリア,1996,1996-07-16,Camposampiero,,確認済,d656675a-2739-4427-ac38-75ae1b732372
keisuke-kurihara,クリハラ・ケイスケ,Keisuke Kurihara,日本,1997,1997-12-13,,,確認済,1eaafc7a-7d10-4921-9489-8b6d87abecc1
ryo-mizuno,ミズノ・リョウ,Ryo Mizuno,日本,1998,1998-05-31,Gunma,,確認済,eb3f2d57-ab53-4359-8d67-0837ec390187
matt-barton,マット・バートン,Matt Barton,豪州,1996,1996-02-04,,,確認済,f10edf3b-4db9-4760-a595-274ac81b67dc
danny-eslick,ダニー・エスリック,Danny Eslick,米国,1986,1986-05-29,,,確認済,60afe7b2-e0a9-46d3-8de5-e89c7578b65e
naomichi-uramoto,ウラモト・ナオミチ,Naomichi Uramoto,日本,1994,1994-07-24,,,確認済,cb8e062e-2cdb-458a-8307-4ebcf1561305
alessandro-nocco,アレッサンドロ・ノッコ,Alessandro Nocco,イタリア,1997,1997-05-20,Gagliano del Capo,,確認済,4d19df45-9e18-480b-baea-6832fbb731cc
hugo-clere,ユーゴ・クレール,Hugo Clere,フランス,1994,1994-06-11,,,確認済,ea925984-05a4-4729-9ba6-f4b73fed19d5
fabio-spiranelli,ファビオ・スピラネッリ,Fabio Spiranelli,イタリア,1999,1999-12-05,Lodi,,確認済,3b489143-ee09-4be2-a224-5a43a0a93e4f
enzo-boulom,エンゾ・ブロム,Enzo Boulom,フランス,1997,1997-01-29,,,確認済,33846d76-bbab-4ee4-abee-7b1035c6348e
tim-georgi,ティム・ゲオルギ,Tim Georgi,ドイツ,2000,2000-05-16,Berlin,,確認済,a1fe125f-4682-403d-958e-fbb2a2165019
alex-fabbri,アレックス・ファッブリ,Alex Fabbri,サンマリノ,1998,1998-08-18,San Marino,,確認済,b8aa6bae-e856-41ad-b84f-aec0e45eeec2
gabriel-martinez-abrego,ガブリエル・マルティネス＝アブレゴ,Gabriel Martinez-Abrego,メキシコ,1998,1998-09-16,Monterrey,,確認済,d1e771c0-9179-4e71-99f4-20a677c289b8
shizuka-okazaki,オカザキ・シズカ,Shizuka Okazaki,日本,1992,1992-06-12,Kanagawa,,確認済,e62ce717-7f25-4480-9a7f-d7e92a523860
vicente-perez,ビセンテ・ペレス,Vicente Perez,スペイン,1997,1997-10-21,Cullera,,確認済,66f96bc2-5b52-4f0e-9eb1-bfc3f0a3152c
saeed-al-sulaiti,サイード・アル・スライティ,Saeed Al Sulaiti,カタール,1985,1985-03-21,,,確認済,eed372d9-6e8c-4248-adbf-a815cd7e7f76
axel-bassani,アクセル・バッサーニ,Axel Bassani,イタリア,1999,1999-07-24,Feltre,,確認済,edafeb67-a00e-4781-a360-8cfb8c7d9ea7
tarran-mackenzie,タラン・マッケンジー,Tarran Mackenzie,英国,1995,1995-10-25,Ashby-De-La-Zouch,,確認済,88880000-4b7d-4c38-8a8f-90b0eee8576d
ikuhiro-enokido,エノキド・イクヒロ,Ikuhiro Enokido,日本,1998,1998-05-24,Tokyo,,確認済,0932261c-c0ff-4ea5-bf45-5346aaee73f4
dimas-ekky-pratama,ディマス・エッキー・プラタマ,Dimas Ekky Pratama,インドネシア,1992,1992-10-26,Depok,,確認済,a1426844-f18e-4859-9f1c-d85701cfcecd
nakarin-atiratphuvapat,ナカリン・アティラットプワパット,Nakarin Atiratphuvapat,タイ,1996,1996-01-17,Khon Kaen,,確認済,aebc5e13-a65e-4ddd-9f6a-bf44c3c0288c
patrik-pulkkinen,パトリック・プルッキネン,Patrik Pulkkinen,フィンランド,2001,2001-03-14,Helsinki,,確認済,1f420834-ac0e-4d90-9071-2023e75fd97c
edoardo-sintoni,エドアルド・シントーニ,Edoardo Sintoni,イタリア,2000,2000-01-20,Cattolica,,確認済,44ef0d96-2e8d-48e3-9f6b-f0a9c62bbf46
aleix-viu,アレイシ・ビウ,Aleix Viu,スペイン,2000,2000-10-03,,,確認済,da93d167-18d3-41fc-828c-f85e9636d480
ryan-van-de-lagemaat,ライアン・ファン・デ・ラーヘマート,Ryan Van De Lagemaat,オランダ,1999,1999-12-16,Culemborg,,確認済,8279c344-becb-4ea8-af7e-9e9d23c48da5
maximilian-kofler,マクシミリアン・コフラー,Maximilian Kofler,オーストリア,2000,2000-08-18,Voecklabruck,,確認済,eb08bc89-6bce-4e4d-a167-a7aaf06ba969
tom-booth-amos,トム・ブース＝エイモス,Tom Booth-Amos,英国,1996,1996-03-12,,,確認済,6531af75-112f-47da-b8b9-6deaf3196db4
jake-archer,ジェイク・アーチャー,Jake Archer,英国,2000,2000-02-03,Andover,,確認済,f03cfaaa-54d4-4adb-83e4-8155dd01152c
kevin-zannoni,ケヴィン・ザンノーニ,Kevin Zannoni,イタリア,2000,2000-09-08,Cesena,,確認済,562b1364-6251-4e41-8842-b43ba200b488
aaron-polanco,アーロン・ポランコ,Aaron Polanco,スペイン,2000,2000-03-10,Almussafes,,確認済,0b9b8453-cbd0-4890-a713-60c8609e15e9
tom-toparis,トム・トパリス,Tom Toparis,豪州,2000,2000-05-17,,,確認済,02dc4fcd-2b75-4866-9fe8-1a84f5880ae4
kasma-daniel,カスマ・ダニエル,Kasma Daniel,マレーシア,2000,2000-09-02,Johor,,確認済,308a1ebd-28f4-47f9-850d-fca6bb784e22
kazuki-masaki,マサキ・カズキ,Kazuki Masaki,日本,2000,2000-08-22,Fukuoka,,確認済,e3f362b1-5903-4f84-a095-e556e538ce0e
lukas-tulovic,ルーカス・トゥロヴィッチ,Lukas Tulovic,ドイツ,2000,2000-06-15,Eberbach,,確認済,bb99c8a8-58bb-45fa-91b2-2d8446cbc324
xavi-cardelus,シャビ・カルデルス,Xavi Cardelus,アンドラ,1998,1998-05-15,Andorra la Vella,,確認済,e023214d-f3f8-438b-9987-03818d38403c
niki-tuuli,ニキ・トゥーリ,Niki Tuuli,フィンランド,1995,1995-10-26,Imatra,,確認済,69855a86-e649-42b5-91f9-150969334854
corentin-perolari,コランタン・ペロラリ,Corentin Perolari,フランス,1998,1998-04-13,Pont St Esprit,,確認済,953ebc93-5139-4a63-8a96-c4f300e99a36
cedric-tangre,セドリック・タングル,Cedric Tangre,フランス,1983,1983-07-23,Meaux,,確認済,210053d7-3900-42fb-8c86-147a3efba73a
sheridan-morais,シェリダン・モライス,Sheridan Morais,ポルトガル,1995,1995-03-11,Johannesburg,,確認済,a53dc1af-8548-4844-aac1-f285df4383b7
alejandro-medina,アレハンドロ・メディナ,Alejandro Medina,スペイン,1997,1997-01-02,Malaga,,確認済,ef40dc99-1431-499d-aa57-abc471def19d
tommaso-marcon,トンマーゾ・マルコン,Tommaso Marcon,イタリア,1999,1999-12-26,Cittadella,,確認済,d7393cc5-8213-4a6f-9007-b1f0c535ce10
makar-yurchenko,マカール・ユルチェンコ,Makar Yurchenko,カザフスタン,1998,1998-07-29,St.Petersburg,,確認済,9cd50687-9764-4252-b876-80c6ccbe9053
yari-montella,ヤリ・モンテッラ,Yari Montella,イタリア,2000,2000-01-05,Oliveto,,確認済,7086fcb2-be0f-4de3-817c-36869edfee2c
yuto-fukushima,フクシマ・ユウト,Yuto Fukushima,日本,2000,2000-07-24,Tokyo,,確認済,44d93954-c04d-4fc5-a6f5-7a36adef22ac
can-oncu,ジャン・オンジュ,Can Öncü,トルコ,2003,2003-07-26,Alanya,,確認済,3668c7b1-7a7c-4c1d-a955-314b1f5d286c
izam-ikmal,イザム・イクマル,Izam Ikmal,マレーシア,2002,2002-11-01,Kualu Lumpur,,確認済,2124cce8-48c3-4e49-8df5-1ae2638dd197
gabriele-ruiu,ガブリエレ・ルイウ,Gabriele Ruiu,イタリア,2000,2000-05-16,,,確認済,f3173a15-19e0-4b3f-9ec3-0a6f0fe5c417
teppei-nagoe,ナゴエ・テッペイ,Teppei Nagoe,日本,1997,1997-09-05,,,確認済,c1d36bab-8276-483d-9dbd-0f7234e695f7
andi-farid-izdihar,アンディ・ファリド・イズディハル,Andi Farid Izdihar,インドネシア,1997,1997-08-14,Bulukumba,,確認済,cd3f3b56-7e31-49bf-b640-09592588d05d
gerry-salim,ゲリー・サリム,Gerry Salim,インドネシア,1997,1997-04-19,,,確認済,196163a7-3e09-4f71-a15d-bcec628dbc6b
sean-dylan-kelly,ショーン・ディラン・ケリー,Sean Dylan Kelly,米国,2002,2002-05-17,Miami,,確認済,73dff6dc-63b4-45c1-903d-e144093c2add
meikon-kawakami,メイコン・カワカミ,Meikon Kawakami,ブラジル,2002,2002-03-08,Fujinomiya,,確認済,f0a52a70-d5c3-410a-8e71-547d1b6b8ba2
dirk-geiger,ディルク・ガイガー,Dirk Geiger,ドイツ,2002,2002-07-04,,,確認済,47e478d1-f3aa-420d-9a29-e640183e3b01
yuki-kunii,クニイ・ユウキ,Yuki Kunii,日本,2003,2003-02-18,Tokyo,,確認済,8e629524-bf3f-4042-8aab-49863d25206a
brandon-paasch,ブランドン・パーシュ,Brandon Paasch,米国,2001,2001-03-16,,,確認済,22792b12-be7e-43a2-b461-de049090ad1a
elia-bartolini,エリア・バルトリーニ,Elia Bartolini,イタリア,2003,2003-07-31,,,確認済,2937e3a4-3e0c-431c-894e-b38d1cbd3164
gerard-riu-male,ジェラール・リウ・マレ,Gerard Riu Male,スペイン,1999,1999-10-16,,,確認済,ff5b7868-1b75-441e-a611-d5e802265454
jose-julian-garcia,ホセ・フリアン・ガルシア,Jose Julian Garcia,スペイン,2002,2002-07-20,,,確認済,011c69d6-4d98-417f-b126-85c076ea2981
rogan-chandler,ローガン・チャンドラー,Rogan Chandler,ニュージーランド,1997,1997-09-03,,,確認済,ba718770-7d17-470f-9232-b49d28bd3c45
yanni-shaw,ヤンニ・ショー,Yanni Shaw,豪州,1994,1994-08-01,,,確認済,56359f9e-74de-4f6a-89b0-f3df86092bbf
mattia-casadei,マッティア・カサデイ,Mattia Casadei,イタリア,1999,1999-07-02,Rimini,,確認済,69405c95-a8be-49d7-a4fc-9937c6d2f1f5
kenny-foray,ケニー・フォレ,Kenny Foray,フランス,1984,1984-08-02,Sèvres,,確認済,d3a16941-4c5b-4702-b6aa-c44bcb69c2d8
piotr-biesiekirski,ピョトル・ビェシェキルスキ,Piotr Biesiekirski,ポーランド,2001,2001-09-25,Poland,,確認済,16e14cea-176a-40cf-8c76-b5cd390d19ef
jason-dupasquier,ジェイソン・デュパスキエ,Jason Dupasquier,スイス,2001,2001-09-07,Bulle,,確認済,cbc68ad9-049e-479c-b5af-25b401a864c5
alessandro-zaccone,アレッサンドロ・ザッコーネ,Alessandro Zaccone,イタリア,1999,1999-01-10,Rimini,,確認済,785664f9-ac17-4c2d-b66b-d635780637b0
miquel-pons,ミケル・ポンス,Miquel Pons,スペイン,1997,1997-08-01,Palma de Mallorca,,確認済,fa64b680-a352-4168-b60e-387664b18cb5
taiga-hada,ハダ・タイガ,Taiga Hada,日本,1998,1998-09-12,Japan,,確認済,64d9d78e-4191-4af9-816f-5243d17953cb
keminth-kubo,ケミン・クボ,Keminth Kubo,タイ,1999,1999-05-21,Thailand,,確認済,f2d2af34-a322-4c40-916b-681230838f25
lorenzo-fellon,ロレンゾ・フェロン,Lorenzo Fellon,フランス,2004,2004-07-15,Avignon,,確認済,79e454c6-0d5d-47de-b389-3dc22c5152a4
takuma-matsuyama,マツヤマ・タクマ,Takuma Matsuyama,日本,2004,2004-11-09,,,確認済,5a00b289-70ac-43dd-8ff1-7192fa39cd1c
alberto-surra,アルベルト・スッラ,Alberto Surra,イタリア,2004,2004-05-31,Torino,,確認済,7724db44-a641-4588-ac76-ec751b13c23e
